# Det2
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
4.81037 1610.62 -50 -0.00118027 0.104054 0.953001 51.0143 22 7480412 1001 1 1 0 0 1 
1340.06 -227.566 -50 0.17599 -0.0224902 1.84262 51.0285 22 7487590 1001 1 1 0.848678 0.848678 2 
-62.7187 1374.21 -50 -0.00564151 0.135546 1.76422 51.2993 22 7595943 1001 1 1 0.869397 0.869397 2 
-871.399 547.009 -50 -0.0571691 0.0223487 0.756318 51.5044 22 7634391 1001 1 1 0.243728 0.243728 2 
752.269 -912.206 -50 0.0276854 -0.019418 0.229153 52.0384 22 7751055 1001 1 1 0.0277638 0.0277638 2 
-195.984 -1568.35 -50 -0.0168507 -0.1882 1.6473 51.3927 22 7772421 1001 1 1 0 0 1 
-375.493 -1325.25 -50 -0.0234879 -0.0825403 0.953319 51.2417 22 7808092 1001 1 1 0 0 1 
1334.89 -1122.8 -50 0.0593491 -0.0471987 0.64881 51.351 22 7813652 1001 1 1 0.653168 0.653168 10 
-1632.02 -1366.62 -50 -0.0685587 -0.0609095 0.648387 53.1489 22 7834471 1001 1 1 0.654782 0.654782 14 
-431.623 1784.8 -50 -0.0239478 0.0923074 0.789057 51.3322 22 7852874 1013 1 1 0 0 1 
-1122.09 -1385.82 -50 0.00475509 -0.00317614 0.564597 52.3867 22 7864181 1001 1 1 0.360248 0.360248 4 
-1254.4 1531.4 -50 -0.129334 0.131501 1.36057 51.4813 22 7899233 1001 1 1 0 0 1 
-1636.76 -765.954 -50 -0.0887587 -0.0252438 0.363253 52.401 22 7939436 1001 1 1 0 0 1 
-1691.43 -247.193 -50 0.00590083 -0.0214493 0.282742 52.4228 22 7962170 1009 1 1 0.222912 0.222912 9 
1903.69 -707.492 -50 0.115903 -0.0441373 0.817321 51.7447 22 7967699 1001 1 1 0.515673 0.515673 4 
-446.973 1064.1 -50 -0.021864 0.0459334 0.677551 51.0646 22 8050311 1001 1 1 0.625974 0.625974 9 
1462.92 -1954.73 -50 0.139982 -0.0857675 0.409069 54.8978 22 8161881 1001 1 1 0.0548084 0.0548084 2 
731.02 1882.14 -50 0.0516793 0.099109 0.783859 51.8984 22 8206065 1001 1 1 0 0 1 
1631.1 -125.061 -50 0.098707 0.00239379 1.00559 51.5649 22 8223659 1001 1 1 0 0 1 
-436.031 -1810.61 -50 -0.0337091 -0.123439 1.07921 51.3559 22 8230928 1001 1 1 0.994896 0.994896 8 
-21.9383 -1025.56 -50 -0.00996731 -0.044965 0.834962 51.2913 22 8354247 1007 1 1 0 0 1 
-675.359 355.445 -50 -0.0483355 0.0373333 0.986926 51.303 22 8401448 1001 1 1 0 0 1 
460.233 1817 -50 0.0811304 0.18261 0.672044 52.8567 22 8834891 1001 1 1 0 0 1 
-569.627 1602.01 -50 -0.031167 0.0563986 0.56979 51.9892 22 9296314 1001 1 1 0.0679861 0.0679861 2 
733.951 -57.1518 -50 0.0341009 -0.00666315 0.614558 51.0242 22 9328884 1001 1 1 0.0217362 0.0217362 2 
-715.698 -1790.86 -50 -0.0493935 -0.135982 1.09231 51.3187 22 9407285 1001 1 1 0.6779 0.6779 5 
-597.844 -1679.42 -50 -0.0470331 -0.10001 0.974839 51.4831 22 9453502 1001 1 1 0.380808 0.380808 2 
