# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
9,6,23,3.549651269000138e-10,3.598991425337252e-22,603
9,6,24,4.035119016217638e-10,4.120581366880628e-22,677
9,6,25,3.730350090084084e-10,3.771216314282868e-22,679
9,6,26,3.445109447420914e-10,3.505651222171278e-22,669
9,6,27,2.499889368558468e-10,2.345580609388623e-22,484
9,6,28,6.133335828258619e-11,5.894929498537614e-23,453
9,6,29,2.140393523452643e-11,1.694766093840058e-23,321
9,6,30,7.643781059912791e-12,5.700463287413075e-24,193
9,6,31,4.625876068699536e-12,1.076612336368819e-23,2
9,6,32,1.230234661607579e-13,1.513477322620714e-26,1
9,6,33,2.242705906770075e-12,1.607639871385652e-24,6
9,6,34,2.187151869322123e-12,3.358908769165236e-24,3
9,6,35,2.241566486820085e-12,2.567208271158238e-24,123
9,6,36,2.663867935051096e-13,7.039911482673073e-27,46
9,6,37,5.693991457684596e-14,7.209498449651151e-28,10
9,6,38,4.004744762660868e-13,1.603798061405966e-25,1
9,6,39,3.930801776356086e-14,1.445259015129779e-27,2
9,7,0,1.269263168958816e-14,6.701621222700538e-29,4
9,7,1,0,0,0
9,7,2,1.74013910023053e-13,8.088267244376396e-27,14
9,7,3,6.453572428602204e-13,4.024434233831872e-26,33
9,7,4,1.569585734005247e-12,7.685346959052853e-26,109
9,7,5,3.660313016484955e-12,7.752414165211007e-25,139
9,7,6,8.860260632295284e-12,7.852115647813163e-24,17
9,7,7,8.233222584109296e-12,6.227406740682615e-24,17
9,7,8,5.961303979516473e-12,2.756381461527117e-24,17
9,7,9,1.191870209667276e-11,1.035263378559433e-23,20
9,7,10,8.584663669920894e-12,5.015162660651245e-24,19
9,7,11,4.31947314667311e-12,2.698233607936186e-24,11
9,7,12,1.401630210580913e-11,1.808713127157916e-23,17
9,7,13,1.434968031497448e-11,1.290721552281646e-23,24
9,7,14,1.311419807073469e-11,1.385759990311902e-23,21
9,7,15,1.636337649488421e-11,2.590886771025939e-23,22
9,7,16,1.359193743816634e-11,1.461733008387267e-23,18
9,7,17,2.366489591387624e-11,2.559450337970766e-23,50
9,7,18,7.173419565672805e-11,1.634141549473282e-23,3120
9,7,19,1.342068451566887e-08,7.438486433563336e-21,67088
9,7,20,2.01856310685384e-08,1.766864857156524e-20,49711
9,7,21,1.98886086231561e-08,1.800743339777794e-20,27056
9,7,22,1.977774916410908e-08,1.730041608838273e-20,25905
9,7,23,1.97581579676396e-08,1.704496939052151e-20,26160
9,7,24,1.996297787329854e-08,1.716402188370322e-20,26669
9,7,25,2.000402667035124e-08,1.696088665659179e-20,27320
9,7,26,2.048535604177466e-08,1.736809290366775e-20,28840
9,7,27,2.100857960942167e-08,1.715382984180211e-20,34653
9,7,28,1.966236999092495e-08,1.373185818943511e-20,45573
9,7,29,9.642417371805721e-09,4.014587334188622e-21,53581
9,7,30,2.335093408262225e-11,2.488371154843432e-23,358
9,7,31,1.74527748048702e-12,1.649734544830672e-24,2
9,7,32,6.386465110639894e-13,2.149256751949095e-25,3
9,7,33,1.788642911275646e-12,1.014326300833047e-24,5
9,7,34,1.744264278899979e-12,9.143984439681086e-25,5
9,7,35,5.770450808662667e-13,3.098488017284042e-26,166
9,7,36,2.820163394469751e-13,4.546670038332041e-27,63
9,7,37,5.707050246555338e-14,1.342690932899793e-27,8
9,7,38,7.077586983688356e-13,5.009223751167484e-25,1
9,7,39,1.189498910829063e-13,8.27131507953771e-27,6
9,8,0,7.650287982734938e-15,2.016489870730743e-29,4
9,8,1,0,0,0
9,8,2,6.020559074795193e-14,6.322311859113416e-28,11
9,8,3,6.167358626702259e-13,2.802890456171379e-26,45
9,8,4,1.833167358079936e-12,1.183116532468085e-25,117
9,8,5,4.844830815049048e-12,3.058359210172283e-24,144
9,8,6,5.698930046040591e-12,6.463846846409668e-24,8
9,8,7,6.107248578859022e-12,5.299426011075479e-24,10
9,8,8,4.328040758760243e-12,2.378831687876633e-24,11
9,8,9,6.569280446966756e-12,5.484282383931739e-24,11
9,8,10,6.433200768053284e-12,4.311037554151664e-24,12
9,8,11,6.240641886559162e-12,4.939195413866292e-24,15
9,8,12,9.30549471705708e-12,5.52427501899516e-24,19
9,8,13,8.451502423909249e-12,6.028609798907586e-24,21
9,8,14,1.308968098737439e-11,1.543547548008386e-23,21
9,8,15,1.354008659572415e-11,1.283331812329093e-23,24
9,8,16,2.211402313293155e-11,1.796676179272103e-23,39
9,8,17,2.96390953950511e-11,2.391503998830015e-23,58
9,8,18,7.021524531369843e-11,1.280231196446853e-23,3035
9,8,19,1.350817362407488e-08,7.640107292381886e-21,67270
9,8,20,2.018546551406479e-08,1.759305003195139e-20,49912
9,8,21,1.991729542380713e-08,1.7716643228002e-20,27142
9,8,22,1.969376324797177e-08,1.699813509637938e-20,25962
9,8,23,1.983793342534211e-08,1.715207244862731e-20,26272
9,8,24,1.995988872079193e-08,1.715911482451526e-20,26712
9,8,25,2.022994241741835e-08,1.741846123925094e-20,27462
9,8,26,2.048927797449648e-08,1.723690254291813e-20,28918
9,8,27,2.125721681782999e-08,1.731248886821418e-20,34684
9,8,28,1.967945430096014e-08,1.378344822488511e-20,45865
9,8,29,9.551085179863125e-09,3.88509498728572e-21,33828
9,8,30,1.674967013446984e-11,1.606969349088881e-23,339
9,8,31,2.773485933955207e-12,2.465136135863116e-24,5
9,8,32,4.956007686774616e-12,1.359825616841488e-23,3
9,8,33,1.431715684236052e-12,8.279205320551046e-25,3
9,8,34,1.254708522187357e-11,1.10495043625424e-22,4
9,8,35,1.059048861557616e-12,1.18368866230626e-25,155
9,8,36,2.538724261976739e-13,2.356863032043549e-27,66
9,8,37,5.934613466979541e-14,5.847913676417589e-28,13
9,8,38,0,0,0
9,8,39,9.613489105356586e-15,6.648074782011058e-29,2
9,9,0,2.30496741976694e-14,3.710888584288793e-28,2
9,9,1,0,0,0
9,9,2,5.967521707781292e-14,1.66237615779174e-27,7
9,9,3,2.904649790468306e-13,1.063507679146952e-26,26
9,9,4,6.615841830706255e-13,1.741478935857988e-26,84
9,9,5,2.101918753850447e-12,8.29796635209356e-25,96
9,9,6,1.607318628357314e-12,7.026648541077083e-25,6
9,9,7,6.895983080833083e-12,9.705213988346556e-24,12
9,9,8,6.147600559693145e-12,3.794567827974659e-24,11
9,9,9,3.705822698376274e-12,1.948476807253547e-24,10
9,9,10,4.966962997122108e-12,3.773908695618029e-24,11
9,9,11,5.909862453998033e-12,3.65742298073493e-24,16
9,9,12,1.715206636006015e-11,2.69390126803171e-23,19
9,9,13,8.347630952230208e-12,4.441745481667947e-24,22
9,9,14,1.392083117709002e-11,1.360517213799491e-23,24
9,9,15,1.751031673558e-11,1.48001916580159e-23,31
9,9,16,2.543589755288695e-11,2.44565414611011e-23,40
9,9,17,2.478376607134532e-11,1.855459589053512e-23,51
9,9,18,2.785742253436459e-11,1.826813174388832e-23,334
9,9,19,5.603671792866244e-11,3.851601810067564e-23,782
9,9,20,1.309049880628909e-10,9.801721457354944e-23,743
9,9,21,4.042590418998463e-10,4.386890303789844e-22,645
9,9,22,3.896040294693848e-10,4.133611766180586e-22,633
9,9,23,3.524742751948795e-10,3.321706943347568e-22,610
9,9,24,4.043206219183415e-10,4.170788550082411e-22,680
9,9,25,3.841065378851378e-10,4.014280443607607e-22,680
