# mesh name: dosimeterMesh
# primitive scorer name: doseDepGamma
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,4,1,7.289659088516138e-18,1.560798247183761e-35,5
0,4,2,3.594057500293924e-18,8.000656983005363e-36,3
0,4,3,4.181368256213402e-19,1.74838404940691e-37,1
0,4,4,0,0,0
0,4,5,3.42097408841327e-18,8.450186677501781e-36,2
0,4,6,1.472275223235359e-18,8.667872200842842e-37,3
0,4,7,0,0,0
0,4,8,3.204175564291717e-18,6.596889587343226e-36,3
0,4,9,6.621773282247358e-18,2.028920416136174e-35,3
0,4,10,6.839815732326979e-19,2.455118347732375e-37,2
0,4,11,1.027607233965374e-17,3.302562802040306e-35,4
0,4,12,2.081621238983586e-18,4.33314698258756e-36,1
0,4,13,9.282708610277085e-18,2.880178527347321e-35,3
0,4,14,9.137698746222167e-18,3.880212295465684e-35,3
0,4,15,9.008867195792385e-18,3.241852255646926e-35,4
0,4,16,1.023796610401949e-17,3.588565969123931e-35,4
0,4,17,3.694104688064781e-18,8.562447902428615e-36,3
0,4,18,6.615795622354308e-18,1.620663518225561e-35,4
0,4,19,8.312801770395532e-18,2.177057674392865e-35,4
0,4,20,8.143724239991106e-18,2.295473252125606e-35,3
0,4,21,5.483758734317435e-18,1.815667152522859e-35,3
0,4,22,4.292255370190336e-18,1.086584297571215e-35,3
0,4,23,8.401831328252014e-18,1.829096463965911e-35,8
0,4,24,1.136402900263112e-17,2.850687412270272e-35,8
0,4,25,8.71359007907214e-18,1.346933186907532e-35,9
0,4,26,1.43510609811002e-17,4.817612081615583e-35,7
0,4,27,1.274135588484915e-18,8.205449276509685e-37,2
0,4,28,9.085610340048886e-18,2.251217753281135e-35,6
0,4,29,6.98251181008896e-18,1.431815436290012e-35,5
0,4,30,3.454737792989588e-18,1.193521321831057e-35,1
0,4,31,5.336442360139756e-18,1.461574652209278e-35,2
0,4,32,2.850367481073651e-18,8.124594777162151e-36,1
0,4,33,3.909303878811674e-18,9.272151442523065e-36,2
0,4,34,5.706066073396188e-19,3.2559190033963e-37,1
0,4,35,4.197727788658746e-18,9.984201996262872e-36,2
0,4,36,7.836733535869555e-19,6.141439251222253e-37,1
0,4,37,1.516290829318074e-18,1.16484508864606e-36,3
0,4,38,6.480854241568335e-18,1.80420948936103e-35,3
0,4,39,3.20524178654149e-18,1.027357491019168e-35,1
0,5,0,1.499131749542978e-18,1.343152908957971e-36,2
0,5,1,8.227681694121565e-18,1.581701192594888e-35,6
0,5,2,1.333148019192021e-17,3.98463281759239e-35,9
0,5,3,1.585736340893591e-17,4.832835078690522e-35,8
0,5,4,1.568571381455362e-17,6.202771097059706e-35,6
0,5,5,9.745626770389114e-18,2.586497754533743e-35,5
0,5,6,1.639652071500888e-17,4.304410041285196e-35,7
0,5,7,1.609262346329536e-18,8.85474027128441e-37,3
0,5,8,1.09273824543239e-17,2.209055969036824e-35,8
0,5,9,3.04992874549046e-18,5.482911118958049e-36,3
0,5,10,2.390608732159904e-17,6.499618593975059e-35,13
0,5,11,1.436886920983783e-17,3.923944340100782e-35,9
0,5,12,1.593227443033583e-17,4.82466836944007e-35,7
0,5,13,1.118946940029705e-17,2.477627172109597e-35,10
0,5,14,2.528583493527858e-17,7.314710869341915e-35,13
0,5,15,1.387722582906077e-17,3.990333649793686e-35,7
0,5,16,1.472316001027937e-17,4.487266598624705e-35,6
0,5,17,9.292462721978642e-18,2.084920597805936e-35,6
0,5,18,2.081433534763647e-17,4.883175222067668e-35,16
0,5,19,8.810016746208758e-18,1.885021379692905e-35,7
0,5,20,7.742680382835613e-18,2.632183478221589e-35,7
0,5,21,1.823852973620282e-17,4.84933481148868e-35,11
