# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
9,4,23,7.005228720491858e-09,7.018705402031153e-21,39977
9,4,24,6.618092877076202e-09,6.467659023676469e-21,40076
9,4,25,5.789207307171735e-09,5.643939317378527e-21,37292
9,4,26,4.472651888581655e-09,4.31685185362309e-21,32707
9,4,27,2.794484353123335e-09,2.872290515153861e-21,25792
9,4,28,1.279081425501094e-09,1.532940318728935e-21,18169
9,4,29,5.874278033629252e-10,7.007824623028601e-22,16958
9,4,30,4.030481919253641e-10,4.919207665279505e-22,15407
9,4,31,3.032695531036234e-10,3.594188944170693e-22,13376
9,4,32,2.674539635875286e-10,2.506961866700955e-22,12143
9,4,33,2.135603286970471e-10,1.841185646415103e-22,11032
9,4,34,2.153997899376743e-10,3.035906714651212e-22,10274
9,4,35,1.600412445375387e-10,7.727005558954424e-23,21803
9,4,36,3.672890842339416e-11,7.796119507633515e-25,8194
9,4,37,6.304702681430806e-12,2.641661700115116e-25,1049
9,4,38,6.4320560842709e-12,5.15792538753202e-24,11
9,4,39,2.487489429557641e-12,1.446595255779708e-25,220
9,5,0,2.35173213395278e-12,1.201433858228054e-25,231
9,5,1,6.444215191116324e-12,5.229094591359635e-24,15
9,5,2,8.433350699147389e-12,1.357653925545534e-24,644
9,5,3,2.771964337651181e-11,3.057246091363058e-24,2192
9,5,4,8.690998481405396e-11,1.000417455899246e-23,6940
9,5,5,5.210859945946804e-10,3.135699758013067e-22,10393
9,5,6,8.087102252036808e-10,6.958818408657217e-22,1587
9,5,7,8.782487677917861e-10,7.346009944091318e-22,1729
9,5,8,1.008463519812989e-09,1.104549583196758e-21,1881
9,5,9,1.060985198866628e-09,8.588172789985276e-22,2117
9,5,10,1.309496792294997e-09,1.444077577755209e-21,2427
9,5,11,1.457996468393574e-09,1.458086623031757e-21,2793
9,5,12,1.76482546120823e-09,1.902068507654767e-21,3266
9,5,13,2.182934684462124e-09,1.995172487487655e-21,4109
9,5,14,2.847077164485094e-09,2.565522896097226e-21,5343
9,5,15,3.996482115471229e-09,3.776536213358084e-21,7180
9,5,16,5.336502060514678e-09,4.885439777987765e-21,9352
9,5,17,6.825328035636269e-09,5.798838069613007e-21,11948
9,5,18,8.505564739150795e-09,7.526462565669644e-21,15064
9,5,19,9.913032678372027e-09,8.900899949198177e-21,18519
9,5,20,1.200713265605066e-08,1.101581450264017e-20,22200
9,5,21,1.508663309357512e-08,1.516092859083228e-20,27081
9,5,22,1.60371541504759e-08,1.622296042940222e-20,28857
9,5,23,1.639181237748179e-08,2.586420225493694e-20,29404
9,5,24,1.605678925623698e-08,1.633294635043254e-20,29754
9,5,25,1.512132003114159e-08,1.534291596714993e-20,28013
9,5,26,1.233480900001964e-08,1.315032062212847e-20,22621
9,5,27,7.475157635296225e-09,8.227860710507358e-21,12890
9,5,28,2.513700034266678e-09,3.267315731391596e-21,3697
9,5,29,8.701157658070707e-10,1.025747430256807e-21,1339
9,5,30,5.521477688623104e-10,9.254307088929027e-22,885
9,5,31,4.378698169487934e-10,1.467444997657555e-21,672
9,5,32,3.057755133820592e-10,4.168079301035723e-22,556
9,5,33,2.694016436333954e-10,6.477286968387697e-22,428
9,5,34,2.220939879953756e-10,4.640371087388204e-22,386
9,5,35,1.807257535944391e-10,1.749125827890228e-22,18902
9,5,36,3.348712202042665e-11,6.629608737134253e-25,7777
9,5,37,6.428560848050188e-12,5.309935890798485e-25,1052
9,5,38,8.10050756209119e-12,9.260572373118592e-24,12
9,5,39,1.889052306287229e-12,8.020989281660012e-26,236
9,6,0,4.355125387127159e-12,3.115364652697749e-25,298
9,6,1,4.700971092659025e-12,2.719016434993055e-24,11
9,6,2,9.040868055023102e-12,7.736802339697719e-25,838
