# mesh name: dosimeterMesh
# primitive scorer name: nOfTrackNeutron
# iX, iY, iZ, total(value) , total(val^2), entry
0,13,14,17,49,7
0,13,15,11,21,6
0,13,16,25,95,11
0,13,17,26,136,8
0,13,18,20,46,10
0,13,19,12,22,7
0,13,20,14,26,8
0,13,21,20,36,12
0,13,22,25,57,12
0,13,23,33,89,14
0,13,24,29,141,11
0,13,25,43,111,19
0,13,26,32,84,16
0,13,27,36,104,16
0,13,28,19,43,10
0,13,29,22,44,11
0,13,30,12,22,7
0,13,31,8,16,4
0,13,32,8,16,4
0,13,33,24,80,9
0,13,34,6,12,3
0,13,35,19,93,6
0,13,36,17,53,6
0,13,37,13,29,6
0,13,38,13,41,5
0,13,39,4,16,1
0,14,0,0,0,0
0,14,1,2,4,1
0,14,2,12,32,5
0,14,3,11,23,6
0,14,4,0,0,0
0,14,5,2,4,1
0,14,6,6,12,3
0,14,7,4,8,2
0,14,8,7,13,4
0,14,9,5,9,3
0,14,10,5,9,3
0,14,11,20,80,6
0,14,12,12,20,8
0,14,13,11,21,6
0,14,14,19,41,9
0,14,15,13,47,6
0,14,16,8,12,6
0,14,17,21,101,6
0,14,18,29,281,8
0,14,19,29,253,8
0,14,20,12,22,7
0,14,21,17,35,9
0,14,22,15,35,8
0,14,23,30,102,11
0,14,24,22,50,11
0,14,25,21,55,9
0,14,26,18,34,10
0,14,27,19,53,8
0,14,28,18,34,10
0,14,29,7,11,5
0,14,30,12,38,5
0,14,31,22,68,8
0,14,32,21,53,9
0,14,33,19,125,4
0,14,34,22,90,9
0,14,35,17,137,3
0,14,36,23,69,11
0,14,37,2,4,1
0,14,38,9,15,6
0,14,39,0,0,0
0,15,0,0,0,0
0,15,1,4,8,2
0,15,2,2,4,1
0,15,3,19,137,5
0,15,4,16,150,4
0,15,5,5,9,3
0,15,6,8,16,4
0,15,7,11,21,6
0,15,8,12,24,6
0,15,9,7,17,3
0,15,10,6,12,3
0,15,11,29,83,12
0,15,12,10,18,6
0,15,13,13,31,7
0,15,14,21,71,8
0,15,15,16,46,7
0,15,16,19,61,8
0,15,17,27,63,13
0,15,18,24,170,7
0,15,19,21,141,6
0,15,20,12,22,7
0,15,21,33,241,8
0,15,22,26,130,10
0,15,23,25,107,8
0,15,24,17,33,9
0,15,25,17,41,8
0,15,26,21,79,8
0,15,27,27,77,11
0,15,28,3,5,2
